cmd,default value/ args,description
ai_next_hull,,Cycles through the various hull sizes. Currently selected hull size is written to the screen. Controls which connections are shown when ai_show_hull or ai_show_connect commands are used Arguments: -none; Arguments: -none;
ai_no_local_paths,0,
ai_no_node_cache,0,
ai_no_select_box,0,
ai_no_steer,0,
ai_no_talk_delay,0,
ai_nodes,,Toggles node display. First call displays the nodes for the given network as green objects. Second call displays the nodes and their IDs. Nodes are color coded as follows: Green; ground node Cyan; air node Magenta; climb node Grey; node not available for selected hull size Orange; node currently locked Green; ground node Cyan; air node Magenta; climb node Grey; node not available for selected hull size Orange; node currently locked
ai_norebuildgraph,0,
ai_path_adjust_speed_on_immediate_turns,1,
ai_path_insert_pause_at_est_end,1,
ai_path_insert_pause_at_obstruction,1,
ai_post_frame_navigation,0,
ai_radial_max_link_dist,512,
ai_reaction_delay_alert,0,
ai_reaction_delay_idle,0,
ai_rebalance_thinks,1,
ai_report_task_timings_on_limit,0,
ai_resume,,If NPC is stepping through tasks (see ai_step ) will resume normal processing.
ai_sequence_debug,0,
ai_set_move_height_epsilon,,Set how high AI bumps up ground walkers when checking steps
ai_setupbones_debug,0,Shows that bones that are setup every think
ai_shot_bias,1,
ai_shot_bias_max,1,
ai_shot_bias_min,-1,
ai_shot_stats,0,
ai_shot_stats_term,1000,
ai_show_connect,,Displays the allowed connections between each node for the currently selected hull type. Hulls are color code as follows: Green; ground movement Blue; jumping movement Cyan; flying movement Magenta; climbing movement Red; connection disabled Green; ground movement Blue; jumping movement Cyan; flying movement Magenta; climbing movement Red; connection disabled
ai_show_connect_fly,,Displays the allowed connections between each node for the currently selected hull type. Hulls are color code as follows: Green; ground movement Blue; jumping movement Cyan; flying movement Magenta; climbing movement Red; connection disabled Green; ground movement Blue; jumping movement Cyan; flying movement Magenta; climbing movement Red; connection disabled
ai_show_connect_jump,,Displays the allowed connections between each node for the currently selected hull type. Hulls are color code as follows: Green; ground movement Blue; jumping movement Cyan; flying movement Magenta; climbing movement Red; connection disabled Green; ground movement Blue; jumping movement Cyan; flying movement Magenta; climbing movement Red; connection disabled
ai_show_graph_connect,,Toggles graph connection display for the node that the player is looking at. Nodes that are connected to the selected node by the net graph will be drawn in red with magenta lines connecting to the selected node. Nodes that are not connected via the net graph from the selected node will be drawn in blue.
ai_show_grid,,Draw a grid on the floor where looking.
ai_show_hints,,Displays all hints as small boxes Blue; hint is available for use Red; hint is currently being used by an NPC Orange; hint not being used by timed out Grey; hint has been disabled Blue; hint is available for use Red; hint is currently being used by an NPC Orange; hint not being used by timed out Grey; hint has been disabled
ai_show_hull,,Displays the allowed hulls between each node for the currently selected hull type. Hulls are color code as follows: Green; ground movement Blue; jumping movement Cyan; flying movement Magenta; climbing movement Arguments: -none; Green; ground movement Blue; jumping movement Cyan; flying movement Magenta; climbing movement Arguments: -none;
ai_show_hull_attacks,0,
ai_show_node,,Highlight the specified node
ai_show_think_tolerance,0,
ai_show_visibility,,Toggles visibility display for the node that the player is looking at. Nodes that are visible from the selected node will be drawn in red with yellow lines connecting to the selected node. Nodes that are not visible from the selected node will be drawn in blue.
ai_simulate_task_overtime,0,
ai_spread_cone_focus_time,0,
ai_spread_defocused_cone_multiplier,3,
ai_spread_pattern_focus_time,0,
ai_step,,"NPCs will freeze after completing their current task. To complete the next task, use 'ai_step' again. To resume processing normally use 'ai_resume'"
ai_strong_optimizations,0,
ai_strong_optimizations_no_checkstand,0,
ai_task_pre_script,0,
ai_test_los,,Test AI LOS from the player's POV
ai_test_moveprobe_ignoresmall,0,
ai_think_limit_label,0,
ai_use_clipped_paths,1,
ai_use_efficiency,1,
ai_use_frame_think_limits,1,
ai_use_think_optimizations,1,
ai_use_visibility_cache,1,
ai_vehicle_avoidance,1,[CHEATS REQUIRED] 
ainet_generate_report,,Generate a report to the console.
ainet_generate_report_only,,Generate a report to the console.
air_density,,Changes the density of air for drag computations.
alias,,Alias a command.
+alt1,,
-alt1,,
+alt2,,
-alt2,,
anim_3wayblend,1,Toggle the 3-way animation blending code.
askconnect_accept,,Delay in seconds before the client will resend the 'connect' attempt
async_allow_held_files,1,Allow AsyncBegin/EndRead()
async_mode,0,"Set the async filesystem mode (0 = async, 1 = synchronous)"
async_resume,,
async_serialize,0,Force async reads to serialize for profiling
async_simulate_delay,0,Simulate a delay of up to a set msec per file operation
async_suspend,,
+attack,,
-attack,,
+attack2,,
-attack2,,
audit_save_in_memory,,Audit the memory usage and files in the save; to; memory system
autoaim_max_deflect,0,
autoaim_max_dist,2160,
autosave,,Autosave
autosavedangerous,,AutoSaveDangerous
autosavedangerousissafe,,
+back,,
-back,,
+backspin,,
-backspin,,"Custom mouse acceleration (0 disable, 1 to enable, 2 enable with separate yaw/pitch rescale). Formula: mousesensitivity = ( rawmousedelta^m_customaccel_exponent ) * m_customaccel_scale + sensitivity If mode is 2, then x and y sensitivity are scaled by m_pitch and m_yaw respectively. Formula: mousesensitivity = ( rawmousedelta^m_customaccel_exponent ) * m_customaccel_scale + sensitivity If mode is 2, then x and y sensitivity are scaled by m_pitch and m_yaw respectively."
banid,,Add a user ID to the ban list.
banip,,Add an IP address to the ban list.
bench,,Benches a player via their in-game name.
bench_end,,Ends gathering of info.
bench_showstatsdialog,,Shows a dialog displaying the most recent benchmark results.
bench_start,,Starts gathering of info. Arguments: filename to write results into
bench_upload,,Uploads most recent benchmark stats to the Valve servers.
benchall,0,Benches all players in the server. Must be run with 0
benchframe,,Takes a snapshot of a particular frame in a time demo.
benchid,,"	Benches a player determined on their GameID, obtainable through the ""status"" command."
bind,,Bind a key.
bind_slots,,Hide or show matchmaking popup menu
binds_per_command,1,
BindToggle,,"Performs a bind <key> ""increment var <cvar> 0 1 1"""
blink_duration,0,How many seconds an eye blink will last.
bloodspray,,blood
bot_add,,Add a bot.
bot_changeclass,0,Force all bots to change to the specified class.
bot_crouch,0,Bot crouches
bot_flipout,0,"When on, all bots fire their guns."
bot_forceattack2,0,"When firing, use attack2."
bot_forceattackon,0,"When firing, don't tap fire, hold it down."
bot_forcefireweapon,0,Force bots with the specified weapon to fire.
bot_frozen,0,Don't do anything.
bot_mimic,0,Bot uses usercmd of player by index.
bot_mimic_yaw_offset,0,Offsets the bot yaw.
bot_sendcmd,0,Forces bots to send the specified command.
bot_shootatgoal,1,
box,,Draw a debug box.
+break,,
-break,,
breakable_disable_gib_limit,0,
breakable_multiplayer,1,
buddha,,Toggle. Player takes damage but won't die. (Shows red cross when health is zero)
budget_averages_window,30,number of frames to look at when figuring out average frametimes
budget_background_alpha,128,how translucent the budget panel is
budget_bargraph_background_alpha,128,how translucent the budget panel is
budget_bargraph_range_ms,16,budget bargraph range in milliseconds
budget_history_numsamplesvisible,100,number of samples to draw in the budget history window.  The lower the better as far as rendering overhead of the budget panel
budget_history_range_ms,66,budget history range in milliseconds
budget_panel_bottom_of_history_fraction,0,number between 0 and 1
budget_panel_height,384,height in pixels of the budget panel
budget_panel_width,512,width in pixels of the budget panel
budget_panel_x,0,number of pixels from the left side of the game screen to draw the budget panel
budget_panel_y,50,number of pixels from the top side of the game screen to draw the budget panel
budget_peaks_window,30,number of frames to look at when figuring out peak frametimes
budget_show_averages,0,enable/disable averages in the budget panel
budget_show_history,1,turn history graph off and on. . good to turn off on low end
budget_show_peaks,1,enable/disable peaks in the budget panel
budget_toggle_group,,Turn a budget group on/off
bug,,Show/hide the bug reporting UI.
bug_swap,,Automatically swaps the current weapon for the bug bait and back again.
bugreporter_includebsp,1,Include .bsp for internal bug submissions.
bugreporter_uploadasync,0,Upload attachments asynchronously
buildcubemaps,,Rebuild cubemaps.
building_cubemaps,0,
cache_print,,cache_print [section] Print out contents of cache memory. Print out contents of cache memory.
cache_print_lru,,cache_print_lru [section] Print out contents of cache memory. Print out contents of cache memory.
cache_print_summary,,cache_print_summary [section] Print out a summary contents of cache memory. Print out a summary contents of cache memory.
cam_mode,,Set camera mode
cancelselect,,
cast_hull,,Tests hull collision detection
cast_ray,,Tests collision detection
cc_captiontrace,1,"Show missing closecaptions (0 = no, 1 = devconsole, 2 = show in hud)"
cc_emit,,Emits a closed caption
cc_findsound,,Searches for soundname which emits specified text.
cc_flush,,Flushes async'd captions.
cc_lang,0,Current close caption language (emtpy = use game UI language)
cc_linger_time,1,Close caption linger time.
cc_minvisibleitems,1,Minimum number of caption items to show.
cc_predisplay_time,0,Close caption delay before showing caption.
cc_random,,Emits a random caption
cc_sentencecaptionnorepeat,4,How often a sentence can repeat.
cc_showblocks,,Toggles showing which blocks are pending/loaded async.
cc_smallfontlength,300,"If text stream is this long, force usage of small font size."
cc_subtitles,0,"If set, don't show sound effect captions, just voice overs (i.e., won't help hearing impaired players)."
centerview,,
ch_createairboat,,Spawn airboat in front of the player.
ch_createjeep,,Spawn jeep in front of the player.
changelevel,,Change server to the specified map
changelevel2,,Transition to the specified map in single player
cl_allowdownload,1,Client downloads customization files
cl_allowupload,1,Client uploads customization files
cl_anglespeedkey,0,
cl_animationinfo,,Hud element to examine.
cl_backspeed,450,[CHEATS REQUIRED] 
cl_ball_cannon_cross_option,1,The current selected pre-defined cross.
cl_ball_cannon_crosses_side,1,"The side from which crossses from the ball cannon will be fired. 1 = left, 2 = right."
cl_ball_cannon_enabled,0,
cl_ball_halo_enabled,1,
cl_burninggibs,0,A burning player that gibs has burning gibs.
cl_cam_dist,175,
cl_cam_firstperson,0,
cl_cam_firstperson_fov,90,
cl_cam_height,0,
cl_cam_offset_pitch,0,
cl_cam_offset_roll,0,
cl_cam_offset_side,0,
cl_cam_offset_yaw,0,
cl_centermessagetime,5,
cl_chatfilters,31,Stores the chat filter settings
cl_class,0,Default class when joining a game
cl_clearhinthistory,,Clear memory of client side hints displayed to the player.
cl_clock_correction,1,[CHEATS REQUIRED] Enable/disable clock correction on the client.
cl_clock_correction_adjustment_max_amount,200,[CHEATS REQUIRED] Sets the maximum number of milliseconds per second it is allowed to correct the client clock. It will only correct this amount
cl_clock_correction_adjustment_max_offset,90,"[CHEATS REQUIRED] As the clock offset goes from cl_clock_correction_adjustment_min_offset to this value (in milliseconds), it moves towards apply"
cl_clock_correction_adjustment_min_offset,10,"[CHEATS REQUIRED] If the clock offset is less than this amount (in milliseconds), then no clock correction is applied."
cl_clock_correction_force_server_tick,999,[CHEATS REQUIRED] Force clock correction to match the server tick + this offset (-999 disables it).
cl_clock_showdebuginfo,0,[CHEATS REQUIRED] Show debugging info about the clock drift.
cl_clockdrift_max_ms,150,[CHEATS REQUIRED] Maximum number of milliseconds the clock is allowed to drift before the client snaps its clock to the server's.
cl_clockdrift_max_ms_threadmode,0,[CHEATS REQUIRED] Maximum number of milliseconds the clock is allowed to drift before the client snaps its clock to the server's.
cl_cmdrate,100,Max number of command packets sent to server per second
cl_colorcorrection_file,0,
cl_colorcorrection_weight,0,
cl_colour_blind_kits,1,Use colour blind targeted team kits
cl_crowd_always_show,0,Always show stadium crowd or seats
cl_crowd_enabled,0,Show stadium crowd or seats
cl_customsounds,1,Enable customized player sound playback
cl_debugrumble,0,Turn on rumble debugging spew
cl_demo_cam,0,
cl_demo_menu_visible,1,
cl_demoviewoverride,0,Override view during demo playback
cl_detail_avoid_force,0,"force with which to avoid players ( in units, percentage of the width of the detail sprite )"
cl_detail_avoid_radius,64,radius around detail sprite to avoid players
cl_detail_avoid_recover_speed,0,how fast to recover position after avoiding players
cl_detail_max_sway,5,Amplitude of the detail prop sway
cl_detail_multiplier,1,[CHEATS REQUIRED] extra details to create
cl_detaildist,1200,Distance at which detail props are no longer visible
cl_detailfade,400,Distance across which detail props fade in
cl_disable_auto_slot_rebind,0,
cl_disable_background_map,1,Don't load background map on startup
cl_disable_proxies,0,Disable IOS texture proxies
cl_disable_shadows,0,Disable shadows
cl_disable_weather,1,
cl_downloadfilter,0,"Determines which files can be downloaded from the server (all, none, nosounds)"
cl_drawfieldwalls,1,Draw field walls
cl_drawhud,1,Enable the rendering of the hud
cl_drawleaf,-1,[CHEATS REQUIRED] 
cl_drawmaterial,0,[CHEATS REQUIRED] Draw a particular material over the frame
cl_drawshadowtexture,0,[CHEATS REQUIRED] 
cl_dump_particle_stats,,dump particle profiling info to particle_profile.csv
cl_ejectbrass,1,
cl_ent_absbox,,Displays the client's absbox for the entity under the crosshair.
cl_ent_bbox,,Displays the client's bounding box for the entity under the crosshair.
cl_ent_rbox,,Displays the client's render box for the entity under the crosshair.
cl_entityreport,0,"[CHEATS REQUIRED] For debugging, draw entity states to console"
cl_extrapolate,1,[CHEATS REQUIRED] Enable/disable extrapolation if interpolation history runs out.
cl_extrapolate_amount,0,[CHEATS REQUIRED] Set how many seconds the client will extrapolate entities for.
cl_fastdetailsprites,1,[CHEATS REQUIRED] whether to use new detail sprite system
cl_fasttempentcollision,5,
cl_find_ent,,Find and list all client entities with classnames that contain the specified substring. Format: cl_find_ent <substring> Format: cl_find_ent <substring>
cl_find_ent_index,,Display data for clientside entity matching specified index. Format: cl_find_ent_index <index> Format: cl_find_ent_index <index>
cl_flushentitypacket,0,[CHEATS REQUIRED] For debugging. Force the engine to flush an entity packet.
cl_forcepreload,0,Whether we should force preloading.
cl_forwardspeed,450,[CHEATS REQUIRED] 
cl_fullupdate,,Forces the server to send a full update packet
cl_goal_opacity,0,Goal opacity when it obstructs the view
cl_goal_opacity_fieldoffset,20,Offset from the field end where to start making it transparent
cl_goal_opacity_transition,1,Enable fade out/in transition for goal net opacity
cl_hide_replay_save_prompt,0,
cl_idealpitchscale,0,
cl_ignorepackets,0,[CHEATS REQUIRED] Force client to ignore packets (for debugging).
cl_interp_all,0,Disable interpolation list optimizations.
cl_interp_npcs,0,"Interpolate NPC positions starting this many seconds in past (or cl_interp, if greater)"
cl_interp_ratio,1,Sets the interpolation amount (final amount is cl_interp_ratio / cl_updaterate).
cl_interp_threadmodeticks,0,Additional interpolation ticks to use when interpolating with threaded engine mode set.
cl_jiggle_bone_debug,0,[CHEATS REQUIRED] Display physics-based 'jiggle bone' debugging information
cl_jiggle_bone_debug_pitch_constraints,0,[CHEATS REQUIRED] Display physics-based 'jiggle bone' debugging information
cl_jiggle_bone_debug_yaw_constraints,0,[CHEATS REQUIRED] Display physics-based 'jiggle bone' debugging information
cl_keeper_key_mode,1,
cl_lagcomp_errorcheck,0,Player index of other player to check for position errors.
cl_lagcompensation,1,Perform server side lag compensation of weapon firing events.
cl_language,0,Language (from HKCU\Software\Valve\Steam\Language)
cl_leveloverview,0,[CHEATS REQUIRED] 
cl_leveloverviewmarker,0,[CHEATS REQUIRED] 
cl_localnetworkbackdoor,1,Enable network optimizations for single player games.
cl_logofile,0,Spraypoint logo decal.
cl_matchmaking_menu,0,Hide or show matchmaking popup menu
cl_maxrenderable_dist,3000,[CHEATS REQUIRED] Max distance from the camera at which things will be rendered
cl_mouseenable,1,
cl_mouselook,1,"Set to 1 to use mouse for look, 0 for keyboard look. Cannot be set while connected to a server."
cl_multicore_mat_queue_mode,2,
cl_new_impact_effects,0,
cl_observercrosshair,0,
cl_overdraw_test,0,[CHEATS REQUIRED] 
cl_panelanimation,,Shows panel animation variables: <panelname | blank for all panels>.
cl_particle_batch_mode,1,
cl_particle_max_count,0,
cl_particle_retire_cost,0,[CHEATS REQUIRED] 
cl_particleeffect_aabb_buffer,2,"[CHEATS REQUIRED] Add this amount to a particle effect's bbox in the leaf system so if it's growing slowly, it won't have to be reinserted as oft"
cl_particles_dump_effects,,
cl_particles_show_bbox,0,[CHEATS REQUIRED] 
cl_pclass,0,[CHEATS REQUIRED] Dump entity by prediction classname.
cl_pdump,-1,[CHEATS REQUIRED] Dump info about this entity to screen.
cl_performance_setup,0,Used to set initial default performance settings
cl_phys_props_enable,1,Disable clientside physics props (must be set before loading a level).
cl_phys_props_max,300,Maximum clientside physic props
cl_phys_props_respawndist,1500,Minimum distance from the player that a clientside prop must be before it's allowed to respawn.
cl_phys_props_respawnrate,60,"Time, in seconds, between clientside prop respawns."
cl_phys_timescale,1,[CHEATS REQUIRED] Sets the scale of time for client-side physics (ragdolls)
cl_pitchdown,89,
cl_pitchspeed,225,
cl_pitchup,89,
cl_playback_screenshots,0,Allows the client to playback screenshot and jpeg commands in demos.
cl_player_exposecountry,1,
cl_player_opacity,1,
cl_player_reach_circle_enabled,1,
cl_playerspraydisable,0,Disable player sprays.
cl_precacheinfo,,Show precache info (client).
cl_pred_optimize,2,"Optimize for not copying data if didn't receive a network update (1), and also for not repredicting if there were no errors (2)"
cl_pred_track,,"<entindex> <fieldname>: Track changes to entity index entindex, for field fieldname."
cl_predict,1,Perform client side prediction.
cl_predictionlist,0,[CHEATS REQUIRED] Show which entities are predicting
cl_predictweapons,1,Perform client side prediction of weapon effects.
cl_ragdoll_collide,0,
cl_ragdoll_fade_time,15,
cl_ragdoll_physics_enable,1,Enable/disable ragdoll physics.
cl_ragdoll_pronecheck_distance,64,
cl_reload_assets,,
cl_reloadallmaterials,,Show stadium crowd or seats
cl_removedecals,,Remove the decals from the entity under the crosshair.
cl_renderfieldteamcrests,1,
cl_renderscoreboardcamera,0,Render live camera on scoreboard
cl_resend,6,Delay in seconds before the client will resend the 'connect' attempt
cl_righthand,1,Use right-handed view models.
cl_rumblescale,1,Scale sensitivity of rumble effects (0 to 1.0)
cl_screenshotname,0,Custom Screenshot name
cl_SetupAllBones,0,
cl_shadowtextureoverlaysize,256,[CHEATS REQUIRED] 
cl_show_splashes,1,
cl_ShowBoneSetupEnts,0,Show which entities are having their bones setup each frame.
cl_showdemooverlay,0,"How often to flash demo recording/playback overlay (0 - disable overlay, -1 - show always)"
cl_showents,,Dump entity list to console.
cl_showerror,0,"Show prediction errors, 2 for above plus detailed field deltas."
cl_showevents,0,[CHEATS REQUIRED] Print event firing info in the console
cl_showfps,0,"Draw fps meter at top of screen (1 = fps, 2 = smooth fps)"
cl_showhelp,1,Set to 0 to not show on-screen help
cl_showpausedimage,1,Show the 'Paused' image when game is paused.
cl_showpluginmessages,1,Allow plugins to display messages to you
cl_showpos,0,Draw current position at top of screen
cl_ShowSunVectors,0,
cl_showtextmsg,1,Enable/disable text messages printing on the screen.
cl_sidespeed,450,[CHEATS REQUIRED] 
cl_smooth,1,Smooth view/eye origin after prediction errors
cl_smoothtime,0,Smooth client's view after prediction error over this many seconds
cl_sound_crowdbg_enabled,0,
cl_sound_crowdbg_volume,100,
cl_sound_crowdevent_enabled,0,
cl_sound_crowdevent_volume,100,
cl_soundemitter_flush,,Flushes the sounds.txt system (client only)
cl_soundfile,0,Jingle sound file.
cl_soundscape_flush,,Flushes the client side soundscapes
cl_soundscape_printdebuginfo,,print soundscapes
cl_spec_cam_change_interval,25,
cl_spec_cam_decrease_dist,,
cl_spec_cam_dist,25,
cl_spec_cam_height,0,
cl_spec_cam_increase_dist,,
cl_specspeed,2,
cl_sporeclipdistance,512,[CHEATS REQUIRED] 
cl_sun_decay_rate,0,[CHEATS REQUIRED] 
cl_team,0,Default team when joining a game
cl_teamcolorplayerinfo,0,Use team colors for player info HUD
cl_threaded_bone_setup,0,Enable parallel processing of C_BaseAnimating::SetupBones()
cl_threaded_client_leaf_system,0,
cl_timeout,30,"After this many seconds without receiving a packet from the server, the client will disconnect itself"
cl_tvcam_fixed_sideline_max_dist,750,
cl_tvcam_fixed_sideline_offset_height,1000,
cl_tvcam_fixed_sideline_offset_top,500,
cl_tvcam_flyfollow_offset_distance,1000,
cl_tvcam_flyfollow_offset_distance_top,0,
cl_tvcam_flyfollow_offset_height,633,
cl_tvcam_sideline_offset_height,500,
cl_tvcam_sideline_offset_top,1000,
cl_tvcam_topdown_offset_height,1000,
cl_updaterate,100,Number of packets per second of updates you are requesting from the server
cl_upspeed,320,[CHEATS REQUIRED] 
cl_view,,Set the view entity index.
cl_voice_filter,0,Filter voice by name substring
cl_warmup_menu_visible,1,
cl_wpn_sway_interp,0,
cl_wpn_sway_scale,1,[CHEATS REQUIRED] 
cl_yawspeed,210,
clear,,Clear all console output.
clear_debug_overlays,,clears debug overlays
clientport,27005,Host game client port
closecaption,0,Enable close captioning.
clubname,0,The name of your club
cmd,,Forward command to server.
collision_shake_amp,0,
collision_shake_freq,0,
collision_shake_time,0,
collision_test,,"Players can hear all other players, no team restrictions"
colorcorrectionui,,Show/hide the color correction tools UI.
+commandermousemove,,
-commandermousemove,,
commentary,0,Desired commentary mode state.
commentary_available,0,Automatically set by the game when a commentary file is available for the current map.
commentary_cvarsnotchanging,,
commentary_finishnode,,
commentary_firstrun,0,
commentary_showmodelviewer,,how fast to recover position after avoiding players
commentary_testfirstrun,,
con_drawnotify,1,Disables drawing of notification area (for taking screenshots).
con_enable,1,Allows the console to be activated.
con_filter_enable,0,"Filters console output based on the setting of con_filter_text. 1 filters completely, 2 displays filtered text brighter than ot"
con_filter_text,0,Text with which to filter console spew. Set con_filter_enable 1 or 2 to activate.
con_filter_text_out,0,Text with which to filter OUT of console spew. Set con_filter_enable 1 or 2 to activate.
con_logfile,0,Console output gets written to this file
con_notifytime,8,How long to display recent console text to the upper part of the game window
con_nprint_bgalpha,50,Con_NPrint background alpha.
con_nprint_bgborder,5,Con_NPrint border size.
con_timestamp,0,Prefix console.log entries with timestamps
con_trace,0,Print console text to low level printout.
condump,,dump the text currently in the console to condumpXX.log
connect,,Connect to specified server.
contimes,8,Number of console lines to overlay for debugging.
coop,0,Cooperative play.
create_flashlight,,
CreateHairball,,Show stadium crowd or seats
createplayerball,,
CreatePredictionError,,Create a prediction error
createprop,,
creditsdone,,
crosshair,0,
cvarlist,,Show the list of convars/concommands.
datacachesize,32,Size in MB.
dbghist_addline,,Add a line to the debug history. Format: <category id> <line>
dbghist_dump,,Dump the debug history to the console. Format: <category id> Categories: 0: Entity I/O 1: AI Decisions 2: Scene Print 3: Alyx Blind 4: Log of damage done to player Categories: 0: Entity I/O 1: AI Decisions 2: Scene Print 3: Alyx Blind 4: Log of damage done to player
deathmatch,1,Running a deathmatch server.
debug_materialmodifycontrol,0,
debug_materialmodifycontrol_client,0,
debug_physimpact,0,
debug_touchlinks,0,Spew touch link activity
debugsystemui,,Show/hide the debug system UI.
decalfrequency,30,
default_fov,90,[CHEATS REQUIRED] 
deleteprop,,
demo_avellimit,2000,Angular velocity limit before eyes considered snapped for demo playback.
demo_debug,0,Demo debug info.
demo_decrease_playback_speed,,Decreases demo playback speed
demo_fastforwardfinalspeed,20,Go this fast when starting to hold FF button.
demo_fastforwardramptime,5,How many seconds it takes to get to full FF speed.
demo_fastforwardstartspeed,2,Go this fast when starting to hold FF button.
demo_gototick,,Skips to a tick in demo.
demo_increase_playback_speed,,Increases demo playback speed client archive
demo_interplimit,4000,How much origin velocity before it's considered to have 'teleported' causing interpolation to reset.
demo_interpolateview,1,Do view interpolation during dem playback.
demo_legacy_rollback,1,Use legacy view interpolation rollback amount in demo playback.
demo_pause,,Pauses demo playback.
demo_pauseatservertick,0,Pauses demo playback at server tick
demo_quitafterplayback,0,Quits game after demo playback.
demo_recordcommands,1,[CHEATS REQUIRED] Record commands typed at console into .dem files.
demo_resume,,Resumes demo playback.
demo_spec_by_name,,Use team colors for player info HUD
demo_spec_next,,Spectate next target
demo_spec_previous,,Spectate previous target
demo_timescale,,Sets demo replay speed.
demo_togglepause,,Toggles demo playback.
demolist,,Print demo sequence list.
demos,,Demo demo file sequence.
demoui,,Show/hide the demo player UI.
demoui2,,Show/hide the advanced demo player UI (demoui2).
+demoui2,,Bring the advanced demo player UI (demoui2) to foreground.
-demoui2,,Send the advanced demo player UI (demoui2) to background.
developer,0,Set developer message level
devshots_nextmap,,Used by the devshots system to go to the next map in the devshots maplist.
devshots_screenshot,,"Used by the; makedevshots system to take a screenshot. For taking your own screenshots, use the 'screenshot' command instead."
differences,,Show all convars which are not at their default values.
disconnect,,Disconnect game from server.
disp_dynamic,0,
dispcoll_drawplane,0,
displaysoundlist,0,
dlight_debug,,Creates a dlight in front of the player
drawcross,,Draws a cross at the given location Arguments: x y z Arguments: x y z
drawline,,Draws line between two 3D Points. Green if no collision Red is collides with something Arguments: x1 y1 z1 x2 y2 z2 Green if no collision Red is collides with something Arguments: x1 y1 z1 x2 y2 z2
dsp_automatic,0,
dsp_db_min,80,
dsp_db_mixdrop,0,
dsp_dist_max,1440,[CHEATS REQUIRED] 
dsp_dist_min,0,[CHEATS REQUIRED] 
dsp_enhance_stereo,0,
dsp_facingaway,0,
dsp_mix_max,0,
dsp_mix_min,0,
dsp_off,0,[CHEATS REQUIRED] 
dsp_player,0,
dsp_reload,,
dsp_room,0,
dsp_slow_cpu,0,
dsp_spatial,40,
dsp_speaker,50,
dsp_vol_2ch,1,
dsp_vol_4ch,0,
dsp_vol_5ch,0,
dsp_volume,1,
dsp_water,14,
dt_ShowPartialChangeEnts,0,(SP only) - show entities that were copied using small optimized lists (FL_EDICT_PARTIAL_CHANGE).
